Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
Knowledge Matrix,https://www.crunchbase.com/organization/knowledge-matrix-a002,"Artificial Intelligence (AI), Health Care, Wellness","Hangzhou, Zhejiang, China",Knowledge Matrix is an operator of a health ecosystem that focuses on creating an environment for new media health content.,,2018-01-01,year,,,,,11-50,Early Stage Venture,2023-09-18,Series A,,,,,,,,,,Private,,,,,,,
Careplix Healthcare,https://www.crunchbase.com/organization/careplix-healthcare,"Artificial Intelligence (AI), Health Care, Software","Kolkata, West Bengal, India","Careplix Healthcare is a healthcare software that provides EMR, remote patient monitoring, and chronic care management with AI solutions.",,,,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Wellrabby,https://www.crunchbase.com/organization/wellrabby,"Artificial Intelligence (AI), Health Care, Medical","Gifu, Gifu, Japan","Wellrabbyy Co provides the development, consulting and manufacturing of medical care products.",,2022-10-31,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
S&K Therapeutics,https://www.crunchbase.com/organization/s-k-therapeutics,"Artificial Intelligence (AI), Health Care, Pharmaceutical, Test and Measurement","Seongnam, Kyonggi-do, South Korea",S&K Therapeutics is an AI-based drug development platform.,,2020-01-01,year,,,,,,,2023-01-01,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
Kuang-Chi Group,https://www.crunchbase.com/organization/kuang-chi-group,"Artificial Intelligence (AI), Health Care, Information Technology, Medical","Shenzhen, Guangdong, China","Kuang-Chi is a company that develops and invests in materials, aerospace, smart cities, AI, and digital health technologies.",,2010-01-01,year,1,,,,1001-5000,IPO,,,,,,,,,,,,Public,2011-11-03,,,,,Operations,1
Doctor's Fitness,https://www.crunchbase.com/organization/doctor-s-fitness,"Artificial Intelligence (AI), Health Care, Medical","Osaka, Osaka, Japan",Doctor's Fitness is a health management company that provides consultation and treatment with artificial intelligence technology.,,2022-07-27,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Elevare,https://www.crunchbase.com/organization/elevare-systems,"Artificial Intelligence (AI), Fitness, Health Care, Machine Learning, Medical, Wellness","Hyderabad, Andhra Pradesh, India",Elevare uses artificial intelligence to build solutions for medical problems such as obesity.,,,,,,,,1-10,,,,,,,,,,,,,Private,,,,,,Engineering,3
Neurogazer,https://www.crunchbase.com/organization/neurogazer,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",Neurogazer develops artificial intelligence and MRI technologies to treat brain disorders and offer assistance services to medical sectors.,,2014-05-19,day,,,,,11-50,,2015-10-01,Non-equity Assistance,,,,,,,,,,Private,,,,,,Engineering,4
FiNC,https://www.crunchbase.com/organization/finc-b91c,"Artificial Intelligence (AI), Health Care, Medical, Wellness","Tokyo, Tokyo, Japan",FiNC develops an AI-enabled health and wellness platform that manages consumer wellness.,,2012-01-01,year,,,,,51-100,,,,,,,,,,,,,Private,,,,,,,
Sewon Intelligence,https://www.crunchbase.com/organization/sewon-intelligence,"Artificial Intelligence (AI), Health Care, Information Technology","Seoul, Seoul-t'ukpyolsi, South Korea",SEWON Intelligence provides a platform that monitors health conditions at all times using both wearable and embedded sensors.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
Mobile Vision Network Technology,https://www.crunchbase.com/organization/mobile-vision-network-technology,"Artificial Intelligence (AI), Health Care, Medical Device","Shanghai, Shanghai, China",Move Vision is engaged in development and application of AI technology in the field of cardiovascular and cerebrovascular diseases.,,2015-01-01,year,,,,,11-50,Seed,2021-11-17,Seed,,,,,,,,,,Private,,,,,,,
MeDiee,https://www.crunchbase.com/organization/mediee,"Artificial Intelligence (AI), Health Care, Q&A, SNS","Sosa, Chiba, Japan",MeDiee is a medical consultation platform that provides consulting with doctors who are active on social networks.,,2021-06-17,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
APEX AI,https://www.crunchbase.com/organization/apex-ai-50fb,"Artificial Intelligence (AI), Health Diagnostics","Seongnam, Kyonggi-do, South Korea",APEX AI focuses on risk analysis and tracking of gastric cancer using deep learning technology.,,,,,,,,,,2021-04-01,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
GoMA,https://www.crunchbase.com/organization/goma,"Artificial Intelligence (AI), Health Care, Information Technology, Medical, Software","Tokyo, Tokyo, Japan","GoMA is an IT company that provides AI face recognition system, health management chat and SNS reporting system.",,2019-12-09,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
HAIP,https://www.crunchbase.com/organization/haip,"Artificial Intelligence (AI), Health Care, Information Services","Koto, Tokyo, Japan","HAIP is an IT company that provides research and development, lab infrastructure, business foundation, and medical AI services.",,2021-04-01,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Next Future Healthcare,https://www.crunchbase.com/organization/next-future-healthcare,"Artificial Intelligence (AI), Health Care, Medical","Osaka, Osaka, Japan","Next Future Healthcare specializes in providing locomotive trainer training, healthcare, and AI system development services.",,2021-03-17,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
PreSee,https://www.crunchbase.com/organization/presee,"Artificial Intelligence (AI), Health Diagnostics, Information Technology, Medical, Software","Ramat Gan, Tel Aviv, Israel",PreSee is an artificial and human intelligence system that offers mass medical screening tests to assess the risk of arterial disease.,,2021-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,1
Optical Vortex Tokyo,https://www.crunchbase.com/organization/optical-vortex-tokyo,"Artificial Intelligence (AI), Beauty, Health Care, Software, Virtual Reality","Nerima, Tokyo, Japan","Optical Vortex Tokyo develops immersive AR, VR, and digital twin solutions using XR technologies for the beauty and esthetics industries.",,2011-04-01,month,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
ZW Star Digital,https://www.crunchbase.com/organization/zw-star-digital,"Artificial Intelligence (AI), Health Care, Hospital, Medical","Hefei, Anhui, China",ZW Star Digital develops neural network and artificial intelligence technologies.,,2017-01-01,year,,,,,,,,,,,,,,,,,,Private,,,,,,,
Santa Medical Technology,https://www.crunchbase.com/organization/santa-medical-technology,"Artificial Intelligence (AI), Health Care, Robotics","Hangzhou, Zhejiang, China",Santa Medical Technology is an AI surgical robot developer.,,2011-01-01,year,,,,,11-50,Early Stage Venture,2019-10-22,Series B,,,,,,,,,,Private,,,,,,,
Injewelme,https://www.crunchbase.com/organization/injewelme,"Artificial Intelligence (AI), Health Care, Wellness","Seoul, Seoul-t'ukpyolsi, South Korea",Injewelme is an artificial intelligence health management platform.,,2020-03-01,month,,,,,1-10,Seed,2021-11-08,Seed,,,,,,,,,,Private,,,,,,,
West Lake Xinchen,https://www.crunchbase.com/organization/west-lake-xinchen,"Artificial Intelligence (AI), Electronics, Health Care, Mental Health, Robotics, Therapeutics","Hangzhou, Zhejiang, China",West Lake Xinchen is a technology company which develops psychological counseling robots to provide mental health services.,,2021-07-01,month,,,,,11-50,Seed,2021-12-23,Angel,,,,,,,,,,Private,,,,,,,
Guizhou Yizhiying Technology,https://www.crunchbase.com/organization/guizhou-yizhiying-technology,"Artificial Intelligence (AI), Big Data, Health Care, Medical","Guizhou, Guangdong, China",Guizhou Yizhiying Technology is an enterprise specializing in the field of artificial intelligence medical treatment.,,,,,,,,,Early Stage Venture,2023-01-18,Series A,,,,,,,,,,Private,,,,,,,
HelloKidney.ai,https://www.crunchbase.com/organization/hellokidney-ai,"Apps, Artificial Intelligence (AI), Health Care, Machine Learning, Software","Hyderabad, Andhra Pradesh, India",HelloKidney.ai is a digital health platform that uses AI and machine learning for kidney care.,,2022-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
DataCook,https://www.crunchbase.com/organization/datacook,"Artificial Intelligence (AI), Health Care, Machine Learning","Tokyo, Tokyo, Japan","Health Tech, AI",,2013-05-13,day,,,,Hideyuki Nagai,1-10,,,,,,,,,,,,,Private,,,,,,,
VISUWORKS,https://www.crunchbase.com/organization/visuworks,"Artificial Intelligence (AI), Health Care, Medical","Seocho, Seoul-t'ukpyolsi, South Korea",VISUWORKS develops solutions to advance customized Corrective Eye Surgery through AI and predict health status of the body through the eyes.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
Lifemaan,https://www.crunchbase.com/organization/lifemaan,"Artificial Intelligence (AI), Health Care, Medical","Surat, Gujarat, India","Lifemaan is a technological healthcare solutions offering proactive treatment, remote medical assessments, and patient monitoring services.",,2020-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Channel Healthcare,https://www.crunchbase.com/organization/channel-healthcare-8f7e,"Artificial Intelligence (AI), Diabetes, Health Care","Seocho, Seoul-t'ukpyolsi, South Korea",Channel Healthcare provides diabetes management services through AI based technology.,,2020-07-01,month,,,,,1-10,,2021-06-25,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
Medical Intelligence Pack (MedPPP),https://www.crunchbase.com/organization/medical-intelligence-pack-medppp,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical","Suzhou, Jiangsu, China",Medical Intelligence Pack (MedPPP) is a biomedical data technology company.,,2016-01-01,year,,,,,11-50,Seed,2019-10-16,Seed,,,,,,,,,,Private,,,,,,,
Wireless Communication Research Institute,https://www.crunchbase.com/organization/wireless-communication-research-institute,"Artificial Intelligence (AI), Big Data, Electronics, Health Care, Medical Device, Sensor, Wireless","Chofu, Tokyo, Japan","Wireless Communications Research Institute provides healthcare systems, wireless sensor networks, circuit, and board manufacturing services.",,2002-01-21,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Nagomi-tec,https://www.crunchbase.com/organization/nagomi-tec,"Artificial Intelligence (AI), Health Care, Information Technology, Speech Recognition","Kyoto, Kyoto, Japan",Nagomi-tec is an IT company that develops AI-integrated technologies and communication tools that supports health status.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
Lifeform AI,https://www.crunchbase.com/organization/lifeform-ai,"Artificial Intelligence (AI), Health Care, Medical","Sydney, New South Wales, Australia",Lifeform AI develops smart interfaces using patented sensing technology and human behavioral AI systems.,,2016-01-01,year,,,,,1-10,Seed,2019-01-01,Seed,,,,,,,,,,Private,,,,,,,
Axelidea,https://www.crunchbase.com/organization/axelidea,"Artificial Intelligence (AI), Health Care, Product Research","Tokyo, Tokyo, Japan","Axelidea is an IT company that provides research and development, artificial intelligence, and consulting services for healthcare sectors.",,2020-10-16,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
Health pro AI,https://www.crunchbase.com/organization/health-pro-ai,"Analytics, Artificial Intelligence (AI), Health Care, Predictive Analytics","Dammam, Ash Sharqiyah, Saudi Arabia",transform health care to utilizing AI and data analytics,,2019-05-01,month,,,,,,,,,,,,,,,,,,Private,,,,,,,
Datacogin,https://www.crunchbase.com/organization/datacogin,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning","Bangalore, Karnataka, India",Artificial Intelligent solutions for Healthcare.,,2016-05-02,day,,,,Jyotirling Savle,11-50,,,,,,,,,,,,,Private,,,,,,,
AngelWorld Biotech,https://www.crunchbase.com/organization/angelworld-biotech,"Artificial Intelligence (AI), Bioinformatics, Biotechnology, Health Care, Medical Device","Dubai, Dubai, United Arab Emirates",Biotech company disrupting point of care (POC) testing for major diseases. Bio intelligence powered by Smart Connected IVD medical devices,,2020-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
Doclink,https://www.crunchbase.com/organization/doclink,"Artificial Intelligence (AI), Health Care","Sydney, New South Wales, Australia",Human and Artificial Intelligence against Cancer,,2017-07-01,day,,,,"John MacLean, Martin Orliac",1-10,Seed,2018-10-30,Pre-Seed,,,,,,,,,,Private,,,,,,,
Quantum Intelligence,https://www.crunchbase.com/organization/quantum-intelligence-196b,"Artificial Intelligence (AI), Health Care, Medical","Yongdungpo, Seoul-t'ukpyolsi, South Korea",Quantum Intelligence develops cures for various diseases that people suffer from.,,2020-01-01,year,,,,,,,,,,,,,,,,,,Private,,,,,,,
Rewire,https://www.crunchbase.com/organization/rewire-israel,"Artificial Intelligence (AI), Health Care, Machine Learning, Wellness","Tel Aviv, Tel Aviv, Israel",Rewire is an artificial intelligence company that helps to overcome the difficulties associated with migraines.,,2016-03-01,day,,,,Ely Simon,1-10,,,,,,,,,,,,,Private,,,,,,,
El Mago,https://www.crunchbase.com/organization/el-mago-a747,"Artificial Intelligence (AI), Data Visualization, Mental Health, Predictive Analytics","Tokyo, Tokyo, Japan",El-Mago is an AI technology company that offers emotion analysis solutions by visualizing mental states and emotions.,,2020-01-22,day,,,,,,,,,,,,,,,,,,Private,,,,,,,
ASA Robotics Limited,https://www.crunchbase.com/organization/asa-robotics-limited,"Artificial Intelligence (AI), Health Care, Internet of Things, Robotics","Hong Kong, Hong Kong Island, Hong Kong","Preventive healthcare, Internet of Robotic Things, Robotics, AI",,2021-02-09,day,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Healthsoft,https://www.crunchbase.com/organization/healthsoft-middle-east,"Artificial Intelligence (AI), Consulting, Health Care","Abu Dhabi, Abu Dhabi, United Arab Emirates","Healthsoft specializes in revenue cycle management, healthcare finance consulting, CDI, and DRG implementation services.",,2017-01-01,year,,,,,51-100,,,,,,,,,,,,,Private,,,,,,,
Health & Jiva,https://www.crunchbase.com/organization/health-jiva,"Alternative Medicine, Artificial Intelligence (AI), Health Care","Bangalore, Karnataka, India",360-degree preventive and sustainable healthcare platform based on Ayurveda and AI.,,2022-07-07,day,,,,Divyani Singh,1-10,,,,,,,,,,,,,Private,,,,,,,
CogAid,https://www.crunchbase.com/organization/cogaid,"Artificial Intelligence (AI), Health Care, Software","Jerusalem, Yerushalayim, Israel",CogAid is an assistive tool for Workers and Professionals with Cognitive Disabilities.,,2015-01-01,day,,,,"Daniel Gross, Madelaine Sayko, Meira Josephy",1-10,,,,,,,,,,,,,Private,,,,,,Management,1
Habitu Ltd.,https://www.crunchbase.com/organization/habitu-ltd,"Artificial Intelligence (AI), Clinical Trials, Health Care, Medical Device, Pharmaceutical, Software","Herzliya, Tel Aviv, Israel",An AI-based solution applying Distributed Trial Management across life-routines and points-of-care for better trial performance.,,2018-11-01,day,,,,,1-10,M&A,,,Habitu Ltd. acquired by RxE2,https://www.crunchbase.com/acquisition/rxe2-acquires-habitu-ltd--60912e46,RxE2,https://www.crunchbase.com/organization/rxe2,2021-01-11,day,,,,Private,,,,,,,
Baixinghua AI,https://www.crunchbase.com/organization/baixinghua-ai,"Artificial Intelligence (AI), Health Care","Changping, Beijing, China",Baixinghua AI is an AI medical SaaS platform.,,2020-09-24,day,,,,,51-100,Seed,2022-11-29,Angel,,,,,,,,,,Private,,,,,,,
HIP-it,https://www.crunchbase.com/organization/hip-it,"Artificial Intelligence (AI), Communities, Health Care, Human Computer Interaction, Internet, Social","Chennai, Tamil Nadu, India",HIP-it specializes in the fields of information technology and human interaction software.,,2016-11-07,day,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
EyeWise,https://www.crunchbase.com/organization/eyewise,"Artificial Intelligence (AI), Health Care, Health Diagnostics","Acre, HaZafon, Israel",EyeWise is a digital health company that uses AI for eye exams.,,,,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
